Nummerical derivartion in task../Plotting_kjetil/n_3
n=  1000
0.1307               0.1307                       0.0000
0.1297               0.1297                       0.0000
0.1287               0.1287                       0.0000
0.1277               0.1277                       0.0000
0.1268               0.1268                       0.0000
0.1258               0.1258                       0.0000
0.1248               0.1248                       0.0000
0.1238               0.1238                       0.0000
0.1228               0.1228                       0.0000
0.1218               0.1218                       0.0000
0.1208               0.1208                       0.0000
0.1198               0.1198                       0.0000
0.1188               0.1188                       0.0000
0.1178               0.1178                       0.0000
0.1168               0.1168                       0.0000
0.1158               0.1158                       0.0000
0.1148               0.1148                       0.0000
0.1138               0.1138                       0.0000
0.1128               0.1128                       0.0000
0.1118               0.1118                       0.0000
0.1108               0.1108                       0.0000
0.1098               0.1098                       0.0000
0.1088               0.1088                       0.0000
0.1078               0.1078                       0.0000
0.1068               0.1068                       0.0000
0.1058               0.1058                       0.0000
0.1048               0.1048                       0.0000
0.1038               0.1038                       0.0000
0.1028               0.1028                       0.0000
0.1018               0.1018                       0.0000
0.1008               0.1008                       0.0000
0.0998               0.0998                       0.0000
0.0988               0.0988                       0.0000
0.0978               0.0978                       0.0000
0.0968               0.0968                       0.0000
0.0958               0.0958                       0.0000
0.0948               0.0948                       0.0000
0.0938               0.0938                       0.0000
0.0928               0.0928                       0.0000
0.0918               0.0918                       0.0000
0.0908               0.0908                       0.0000
0.0898               0.0898                       0.0000
0.0888               0.0888                       0.0000
0.0878               0.0878                       0.0000
0.0868               0.0868                       0.0000
0.0858               0.0858                       0.0000
0.0848               0.0849                       0.0000
0.0839               0.0839                       0.0000
0.0829               0.0829                       0.0000
0.0819               0.0819                       0.0000
0.0809               0.0809                       0.0000
0.0799               0.0799                       0.0000
0.0789               0.0789                       0.0000
0.0779               0.0779                       0.0000
0.0769               0.0769                       0.0000
0.0759               0.0759                       0.0000
0.0749               0.0749                       0.0000
0.0739               0.0739                       0.0000
0.0729               0.0729                       0.0000
0.0719               0.0719                       0.0000
0.0709               0.0709                       0.0000
0.0699               0.0699                       0.0000
0.0689               0.0689                       0.0000
0.0679               0.0679                       0.0000
0.0669               0.0669                       0.0000
0.0659               0.0659                       0.0000
0.0649               0.0649                       0.0000
0.0639               0.0639                       0.0000
0.0629               0.0629                       0.0000
0.0619               0.0619                       0.0000
0.0609               0.0609                       0.0000
0.0599               0.0599                       0.0000
0.0589               0.0589                       0.0000
0.0579               0.0579                       0.0000
0.0569               0.0569                       0.0000
0.0559               0.0559                       0.0000
0.0549               0.0549                       0.0000
0.0539               0.0539                       0.0000
0.0529               0.0529                       0.0000
0.0519               0.0519                       0.0000
0.0509               0.0509                       0.0000
0.0499               0.0499                       0.0000
0.0489               0.0489                       0.0000
0.0479               0.0479                       0.0000
0.0469               0.0469                       0.0000
0.0459               0.0459                       0.0000
0.0449               0.0449                       0.0000
0.0439               0.0439                       0.0000
0.0429               0.0429                       0.0000
0.0419               0.0419                       0.0000
0.0409               0.0409                       0.0000
0.0399               0.0399                       0.0000
0.0389               0.0389                       0.0000
0.0379               0.0379                       0.0000
0.0369               0.0369                       0.0000
0.0359               0.0359                       0.0000
0.0349               0.0349                       0.0000
0.0339               0.0339                       0.0000
0.0329               0.0329                       0.0000
0.0319               0.0319                       0.0000
0.0310               0.0310                       0.0000
0.0300               0.0300                       0.0000
0.0290               0.0290                       0.0000
0.0280               0.0280                       0.0000
0.0270               0.0270                       0.0000
0.0260               0.0260                       0.0000
0.0250               0.0250                       0.0000
0.0240               0.0240                       0.0000
0.0230               0.0230                       0.0000
0.0220               0.0220                       0.0000
0.0210               0.0210                       0.0000
0.0200               0.0200                       0.0000
0.0190               0.0190                       0.0000
0.0180               0.0180                       0.0000
0.0170               0.0170                       0.0000
0.0160               0.0160                       0.0000
0.0150               0.0150                       0.0000
0.0140               0.0140                       0.0000
0.0130               0.0130                       0.0000
0.0120               0.0120                       0.0000
0.0110               0.0110                       0.0000
0.0100               0.0100                       0.0000
0.0090               0.0090                       0.0000
0.0080               0.0080                       0.0000
0.0070               0.0070                       0.0000
0.0060               0.0060                       0.0000
0.0050               0.0050                       0.0000
0.0040               0.0040                       0.0000
0.0030               0.0030                       0.0000
0.0020               0.0020                       0.0000
0.0010               0.0010                       0.0000
